# 本 snapshot 產生於 commit 13eb522（125 tests）
# 此為現況基準，非正確基準。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [已修] 4. 原文摺疊區「未提供逐字原文」
#   [未修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [未修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [未修] 7. 用神選擇疑無實際作用（L3）
#
# 修復 5–7 後須重新產生 snapshot 並更新本檔頭。
case_index,sample_id,hexagram_id,hexagram_name,palace,moving_pattern,moving_positions,month_branch,day_ganzhi,yongshen,visible_candidates,hidden_candidate_count,selected_line,is_yongshen_positions,yuanshen_positions,jishen_positions,choushen_positions,c1_condition,c15_condition,c1_track_count,c15_track_count,track_originals_nonempty,output_signature,output_json,equal_to_choices,template_missing_lines,template_missing_contexts,failed_checks,placeholder_checks,exception_type,exception_message,result_class
11,乾:static,1,乾為天,乾,static,,丑,乙丑,兄弟,5,0,5,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",95dc5dcd2c75bb1aba852b2e60ee9e45612672a8e85e095ffdf0a06a50d67974,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":5,""visible_candidates"":[5],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
12,乾:static,1,乾為天,乾,static,,丑,乙丑,世應,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",父母,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
13,乾:static,1,乾為天,乾,static,,寅,丙寅,父母,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",世應,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
14,乾:static,1,乾為天,乾,static,,寅,丙寅,官鬼,4,0,4,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f5ae5afa1cb867acbe3381f38ff637410c4584832f652ddad077821509c35a05,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":4,""visible_candidates"":[4],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
15,乾:static,1,乾為天,乾,static,,寅,丙寅,妻財,2,0,2,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",25d023c6cf1be8eaf1a9f14fc471fab1abc428f783164a11842fab4dae4b65b0,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":2,""visible_candidates"":[2],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
16,乾:static,1,乾為天,乾,static,,寅,丙寅,子孫,1,0,1,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f34e03358127263185d304259b41df18a02e3c601ba9bbced8d05bb3365f5da2,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":1,""visible_candidates"":[1],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
17,乾:static,1,乾為天,乾,static,,寅,丙寅,兄弟,5,0,5,,null,null,null,休囚之爻遇日沖,靜爻遇沖,8,8,"{""C1"":true,""C15"":true}",7c3d3c0d12fb9ce02b81b5c53742fd37e7697cf9e6e974d1d47df7050a1039b6,"{""c15_condition"":""靜爻遇沖"",""c15_originals_nonempty"":true,""c15_track_count"":8,""c1_condition"":""休囚之爻遇日沖"",""c1_originals_nonempty"":true,""c1_track_count"":8,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":5,""visible_candidates"":[5],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions,,,,check_failed
18,乾:static,1,乾為天,乾,static,,寅,丙寅,世應,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",父母,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
19,乾:static,1,乾為天,乾,static,,卯,丁卯,父母,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",世應,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
20,乾:static,1,乾為天,乾,static,,卯,丁卯,官鬼,4,0,4,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f5ae5afa1cb867acbe3381f38ff637410c4584832f652ddad077821509c35a05,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":4,""visible_candidates"":[4],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
21,乾:static,1,乾為天,乾,static,,卯,丁卯,妻財,2,0,2,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",25d023c6cf1be8eaf1a9f14fc471fab1abc428f783164a11842fab4dae4b65b0,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":2,""visible_candidates"":[2],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
22,乾:static,1,乾為天,乾,static,,卯,丁卯,子孫,1,0,1,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f34e03358127263185d304259b41df18a02e3c601ba9bbced8d05bb3365f5da2,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":1,""visible_candidates"":[1],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
23,乾:static,1,乾為天,乾,static,,卯,丁卯,兄弟,5,0,5,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",95dc5dcd2c75bb1aba852b2e60ee9e45612672a8e85e095ffdf0a06a50d67974,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":5,""visible_candidates"":[5],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
24,乾:static,1,乾為天,乾,static,,卯,丁卯,世應,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",父母,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
25,乾:static,1,乾為天,乾,static,,辰,戊辰,父母,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",世應,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
26,乾:static,1,乾為天,乾,static,,辰,戊辰,官鬼,4,0,4,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f5ae5afa1cb867acbe3381f38ff637410c4584832f652ddad077821509c35a05,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":4,""visible_candidates"":[4],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
27,乾:static,1,乾為天,乾,static,,辰,戊辰,妻財,2,0,2,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",25d023c6cf1be8eaf1a9f14fc471fab1abc428f783164a11842fab4dae4b65b0,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":2,""visible_candidates"":[2],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
28,乾:static,1,乾為天,乾,static,,辰,戊辰,子孫,1,0,1,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f34e03358127263185d304259b41df18a02e3c601ba9bbced8d05bb3365f5da2,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":1,""visible_candidates"":[1],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
29,乾:static,1,乾為天,乾,static,,辰,戊辰,兄弟,5,0,5,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",95dc5dcd2c75bb1aba852b2e60ee9e45612672a8e85e095ffdf0a06a50d67974,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":5,""visible_candidates"":[5],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
30,乾:static,1,乾為天,乾,static,,辰,戊辰,世應,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",父母,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
31,乾:static,1,乾為天,乾,static,,巳,己巳,父母,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",世應,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
32,乾:static,1,乾為天,乾,static,,巳,己巳,官鬼,4,0,4,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f5ae5afa1cb867acbe3381f38ff637410c4584832f652ddad077821509c35a05,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":4,""visible_candidates"":[4],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
33,乾:static,1,乾為天,乾,static,,巳,己巳,妻財,2,0,2,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",25d023c6cf1be8eaf1a9f14fc471fab1abc428f783164a11842fab4dae4b65b0,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":2,""visible_candidates"":[2],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
34,乾:static,1,乾為天,乾,static,,巳,己巳,子孫,1,0,1,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",f34e03358127263185d304259b41df18a02e3c601ba9bbced8d05bb3365f5da2,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":1,""visible_candidates"":[1],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
35,乾:static,1,乾為天,乾,static,,巳,己巳,兄弟,5,0,5,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",95dc5dcd2c75bb1aba852b2e60ee9e45612672a8e85e095ffdf0a06a50d67974,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":5,""visible_candidates"":[5],""yuanshen_positions"":null}",,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|no_explicit_no_condition_result,,,,check_failed
36,乾:static,1,乾為天,乾,static,,巳,己巳,世應,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",父母,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
37,乾:static,1,乾為天,乾,static,,午,庚午,父母,3|6,0,,,null,null,null,,,0,0,"{""C1"":null,""C15"":null}",6047d668b50cf46747b293f38ee9cd0b17feaaeee3c215e6e27cd7c15fdc7db9,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":null,""hidden_candidate_count"":0,""is_yongshen_positions"":[],""jishen_positions"":null,""selected_line"":null,""visible_candidates"":[3,6],""yuanshen_positions"":null}",世應,,,missing_is_yongshen_marker|missing_yuanshen_positions|missing_jishen_positions|missing_choushen_positions|yongshen_output_equal_to_other_choice,,,,check_failed
